id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
300574,Historic SOUTHAustin Retro Groovy LOFT 78704 proud,167892,Veronica,,78704,30.25525,-97.75756,Entire home/apt,144,2,441,2023-03-14,3.27,1,155,50,
304808,Spanish Hacienda mile from downtown,1566930,Chris,,78702,30.2733,-97.7269,Private room,155,2,351,2023-02-26,2.58,1,297,42,
304866,Big cute clean Casita in SxSAustin!,1568741,Jim O',,78745,30.20943,-97.77117,Entire home/apt,76,3,176,2022-11-14,1.30,17,361,20,
305392,SXSW IV_Homework7_installation and sample graphs.ipynb Untitled.ipynb Vikhita_Homework_7.ipynb filtered_data.csv listings_data.csv r.sh sampleText.txt sampleText_new.txt Eastside IV_Homework7_installation and sample graphs.ipynb Untitled.ipynb Vikhita_Homework_7.ipynb filtered_data.csv listings_data.csv r.sh sampleText.txt sampleText_new.txt Walk everywhere!,117233,Paige,,78702,30.25688,-97.73244,Entire home/apt,695,3,13,2022-03-17,0.11,1,0,1,
314152,2 bdrm Condo at 360 Bridge,1614097,Denise,,78730,30.35672,-97.79621,Entire home/apt,350,4,0,,,1,0,0,
315239,Very convenient for SxSW,1617870,John,,78745,30.21467,-97.77901,Entire home/apt,600,3,2,2014-03-17,0.02,1,365,0,
317148,Nature's Way Home in Central East Austin,1628379,Martina,,78702,30.26772,-97.70824,Entire home/apt,335,3,39,2022-03-21,0.29,1,6,1,
319759,Swanky Townhome+Rooftop | Downtown | 6th Street!,814883,Kristen,,78702,30.26585,-97.73328,Entire home/apt,800,1,297,2023-02-24,2.22,12,283,36,
319887,Quaint East Austin 2BR SXSW 2016,1640158,Jeremy,,78702,30.25328,-97.72968,Entire home/apt,694,4,2,2015-03-18,0.02,1,0,0,
319894,The Perfect Austin Modern Home,1640172,Gary,,78724,30.28354,-97.64966,Entire home/apt,205,2,185,2023-03-12,1.38,2,148,29,
321069,3/2 Central Austin Mid-Century Modern,1644741,Liz,,78704,30.25398,-97.77856,Entire home/apt,807,2,1,2018-06-23,0.02,1,74,0,
322834,Spacious 3/2 East Austin Home,3797734,Leslie,,78702,30.26849,-97.71874,Entire home/apt,240,4,47,2018-03-25,0.35,1,0,0,
323733,4th St Loft in Downtown Austin!,1654178,Erik,,78701,30.26843,-97.74548,Entire home/apt,178,1,362,2019-10-25,2.71,1,0,0,
324480,Charming Central Austin Apartment,1660476,Mark,,78705,30.29905,-97.73881,Entire home/apt,99,30,1,2022-09-20,0.17,2,362,1,
326172,Central Austin Spacious Guest House with balcony,1665442,Lionel,,78756,30.326650619506836,-97.74362182617188,Entire home/apt,98,29,23,2022-03-18,0.17,1,248,1,
331549,One Room with Private Bathroom,1690383,Sandra,,78725,30.23911,-97.58625,Private room,100,2,0,,,1,0,0,
333442,Rare Secluded 1940s Estate,1698318,Virginia,,78703,30.31267,-97.76641,Entire home/apt,542,3,166,2023-01-26,1.31,1,263,15,
333815,Solar Sanctuary - Austin Room,372962,Kim,,78704,30.25381,-97.75262,Private room,146,2,164,2022-10-24,1.23,1,39,18,
334616,Great SXSW East Central Apartment,608539,D,,78741,30.24481,-97.72379,Entire home/apt,250,1,2,2013-03-17,0.01,1,0,0,
340045,Greenbelt Professional Loft,1725752,Shanti,,78746,30.25937,-97.79249,Entire home/apt,400,1,1,2021-12-30,0.07,1,0,0,
340630,2 Bedroom duplex for monthly rental,531267,Shelley,,78757,30.33061,-97.72531,Entire home/apt,50,30,23,2022-11-04,0.17,3,17,2,
341382,SXSW | 4 bedroom home near Downtown,1205884,Rachel,,78702,30.26543,-97.71338,Entire home/apt,750,4,124,2019-03-17,0.92,1,0,0,
341596,South Austin Ultra Modern,1733004,Julie,,78704,30.24623,-97.75904,Private room,150,2,90,2022-10-17,0.67,1,157,12,
342243,Spacious Private Master Suite by the Month.,1736662,Teresa,,78759,30.41633,-97.75228,Private room,44,31,3,2020-02-13,0.05,1,349,0,
343462,Charming Family Friendly Studio,1742984,Rachel,,78721,30.26895,-97.68947,Entire home/apt,157,1,255,2022-11-13,1.90,1,233,12,
343889,Close-in Central/East Garage Apt,1744639,Darcy,,78702,30.27293,-97.72288,Entire home/apt,47,30,35,2023-02-09,0.26,1,199,7,
345221,Austin Historic Home Downtown SxSW,1644218,Cecily,,78701,30.27247,-97.74796,Entire home/apt,299,3,8,2019-11-03,0.06,2,0,0,
345473,Exquisite Boutique SoCo Cottage with Shops and Restaurants Nearby,1751224,Whitney,,78704,30.24619,-97.74569,Entire home/apt,401,2,174,2023-03-05,1.43,1,199,41,
345536,Artist's Hm. in Hip Bouldin Creek Area,1752493,Gigi,,78704,30.2466,-97.76157,Entire home/apt,192,2,290,2023-03-08,2.19,2,303,28,
347572,East Austin Bungalow,1761506,Savanna,,78702,30.26448,-97.71715,Entire home/apt,125,2,29,2020-03-01,0.22,1,0,0,
347654,ATX -SOCO 3bd House...beats hotels!,1761915,Charm,,78704,30.23661,-97.7449,Entire home/apt,607,1,65,2022-10-24,0.49,2,89,5,
347935,for formula one only...,1763742,Amber,,78704,30.25152,-97.76212,Entire home/apt,643,5,1,2012-03-18,0.01,1,0,0,
1542779,###Private Room(s)- 10 mins to Downtown Austin,7567467,Chalu,,78752,30.32674,-97.68213,Private room,82,1,289,2023-02-28,2.48,12,4,37,
2187256,Modern Zen Oasis - Loft in the Canopy,11152728,Jon,,78702,30.278,-97.70499,Private room,95,2,26,2018-05-19,0.24,3,0,0,
2299148,Master bedroom with private bathroom,3951061,Benjamin,,78759,30.42654,-97.77645,Private room,55,4,6,2023-02-23,0.57,3,364,6,
2303288,Room w Queen Bed,2655102,Rockie,,78702,30.28088,-97.70491,Private room,164,2,0,,,1,0,0,
2311118,Nice House in Great Hills!,10793384,Seth,,78759,30.41738,-97.7761,Private room,99,1,0,,,1,0,0,
2318394,##Private Room- 10 mins to Downtown,7567467,Chalu,,78752,30.32674,-97.68213,Private room,80,1,317,2023-02-26,2.89,12,4,36,
2350566,Modern Zen Oasis - Bedroom 1,11152728,Jon,,78702,30.27395,-97.71223,Private room,85,2,14,2018-04-29,0.13,3,0,0,
2367942,Private Summer Bedroom w/BR,3197761,Sebastian,,78703,30.2685,-97.75655,Private room,150,2,1,2015-03-18,0.01,1,0,0,
2381241,Luxery Apt on Town Lake,5005633,James,,78741,30.24197,-97.71564,Private room,267,1,0,,,1,0,0,
2384692,Best House Ever!,12180722,Gabrielle,,78749,30.20379,-97.83795,Private room,135,2,0,,,1,0,0,
2391847,Charming 1BD for SXSW,10895151,Parker,,78752,30.33782,-97.7115,Private room,200,1,0,,,1,0,0,
